P,FMQ,fo2,F,rho_bulk,rho_melt,Exsol_vol%,Gas_wt,mol_mass,mH2O,mH2,mO2,mCO2,mCO,mCH4,mSO2,mH2S,mS2,mN2,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,fH2O,fH2,fCO2,fCO,fCH4,fSO2,fH2S,fS2,fN2,mCO2/CO,mCO2/H2O,mCO2/SO2,mH2S/SO2,H2O_melt,H2_melt,CO2_melt,CO_melt,CH4_melt,graph_melt,S2-_melt,S6+_melt,Stot_melt,N_melt,tot_H,tot_C,tot_O_gas,tot_O,tot_S,tot_N
3000.0,4.569176985965197,0.0003106736843804621,0.7560555198354877,2371.308147635746,2371.411882176272,0.0053743793533700835,0.000999999974758375,0.018014384060257346,0.9999438877108023,5.6052452802379804e-05,5.983639533720767e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999936196065158,6.274106594633358e-06,1.0628688944965729e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3228.8662912775208,0.23999999987459103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,6.567778978845025,2.012962389204244e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.3750830910485,0,58337.43482952336,0,0,0
2900.0,4.891672228193224,0.0006417010022792547,0.8754031854909949,2362.5278912358763,2378.35536761338,0.8109091548834148,0.14639902787753004,0.01801465395421905,0.9999606255060343,3.924435017910177e-05,1.30143786657092e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999953761669298,4.3926632119740455e-06,2.3116985822020952e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3104.467169372104,0.1605588049350849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,6.4223805834990335,1.3804067057253321e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.3750830910485,0,58337.43482952335,0,0,0
2800.0,5.086623455764004,0.0009881365251140715,0.9568992185992505,2351.734105974661,2384.6711347384503,1.6695216550421852,0.2923544486330231,0.018014773755594796,0.9999679615591159,3.182715806859804e-05,2.112828154432347e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999960622831545,3.562425062906496e-06,3.7529178254072145e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981.7123045286316,0.12427125250522994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,6.27642555159267,9.915600427589236e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.3750830910485,0,58337.434829523365,0,0,0
2700.0,5.25373484738155,0.0014271228237915667,1.0329277365526754,2339.375065891794,2390.930757239959,2.585787848978146,0.43894153092955057,0.018014858023802538,0.9999730209625205,2.6656908974631577e-05,3.2212850490718675e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999964441175848,2.9837032956589168e-06,5.721791195470301e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.576515421968,0.0992056272385143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,6.129838719656208,7.412045742016701e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.3750830910485,0,58337.43482952336,0,0,0
2600.0,5.3965581051662985,0.0019490259302299409,1.1028475295341584,2325.331801159859,2397.1570446797023,3.5649810498917445,0.5862690906882507,0.01801491911180031,0.9999765713662166,2.296357092068657e-05,4.6506286263887414e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999966036373767,2.5702998785124756e-06,8.260627448091627e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2741.0128114318272,0.08134215448324886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,5.982511327738358,5.733713008382872e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.3750830910485,0,58337.43482952336,0,0,0
2500.0,5.517839134033048,0.0025329793746443024,1.1661139830448315,2309.4653732812876,2403.3712095251863,4.613027194219558,0.7344580956553568,0.01801496445469543,0.9999790778675319,2.0282244329483667e-05,6.398881386339661e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996593233909,2.2701747521523107e-06,1.1365913389400988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2622.9719811761056,0.0682796425801274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,5.834322439072136,4.570818073066582e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.375083091048,0,58337.43482952335,0,0,0
2400.0,5.6198349483307375,0.003148911647038736,1.2223312060780027,2291.6152516723164,2409.593807755187,5.736591309805913,0.8836427794993625,0.018014998704789047,0.9999808369624459,1.831947842245718e-05,8.435591316280758e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999964511639838,2.050480096966247e-06,1.4983559190578667e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506.4029033005377,0.0585172706518431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,5.685137838129878,3.7419596083361283e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.3750830910485,0,58337.43482952336,0,0,0
2300.0,5.704671595451,0.0037629645753922466,1.2713814454042525,2271.5977663395056,2415.8463906870484,6.943183304905835,1.0339724231674732,0.01801502491502485,0.9999820492560361,1.6879888280585398e-05,1.0708556833130075e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999962085701302,1.8893455262770834e-06,1.902084343531367e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.252513855491,0.05107093265795081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,5.534808255123679,3.135549382589092e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.3750830910485,0,58337.434829523365,0,0,0
2200.0,5.77449049230939,0.004343922158414646,1.3134744511457916,2249.202991028361,2422.1521974008074,8.241283075935439,1.1856138831115473,0.018015045173596762,0.9999828566509079,1.582764448937457e-05,1.315704602679499e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999958914435089,1.7715671562761331e-06,2.3369893349989956e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2277.4654638725556,0.04527142836242167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,5.3831668407331845,2.6802749117123327e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.3750830910485,0,58337.43482952336,0,0,0
2100.0,5.831409955568683,0.004867819935992666,1.3490913917992293,2224.1901480160395,2428.5359553305384,9.640484713633462,1.3387548426717673,0.018015060951554158,0.9999833615893844,1.5065905112909839e-05,1.5725055027018365e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999955205713505,1.6863052060365424e-06,2.793123443499345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2164.9835923120686,0.04065376488723902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,5.23002591629419,2.3293774411713046e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.375083091048,0,58337.43482952335,0,0,0
